"Ndex "	"MS "	"Pokémon "	"Type1"	"t2"
"#007 "	"7"	"Squirtle "	"Water"	""
"#008 "	"8"	"Wartortle "	"Water"	""
"#009 "	"9"	"Blastoise "	"Water"	""
"#054 "	"54"	"Psyduck "	"Water"	""
"#055 "	"55"	"Golduck "	"Water"	""
"#060 "	"60"	"Poliwag "	"Water"	""
"#061 "	"61"	"Poliwhirl "	"Water"	""
"#062 "	"62"	"Poliwrath "	"Water "	"Fighting"
"#079 "	"79"	"Slowpoke "	"Water "	"Psychic"
"#080 "	"80"	"Slowbro "	"Water "	"Psychic"
"#098 "	"98"	"Krabby "	"Water"	""
"#099 "	"99"	"Kingler "	"Water"	""
"#118 "	"118"	"Goldeen "	"Water"	""
"#119 "	"119"	"Seaking "	"Water"	""
"#129 "	"129"	"Magikarp "	"Water"	""
"#130 "	"130"	"Gyarados "	"Water "	"Flying"
"#147 "	"147"	"Dratini "	"Dragon"	""
"#148 "	"148"	"Dragonair "	"Dragon"	""
"#149 "	"149"	"Dragonite "	"Dragon "	"Flying"
"#158 "	"158"	"Totodile "	"Water"	""
"#159 "	"159"	"Croconaw "	"Water"	""
"#160 "	"160"	"Feraligatr "	"Water"	""
"#183 "	"183"	"Marill "	"Water"	""
"#184 "	"184"	"Azumarill "	"Water"	""
"#186 "	"186"	"Politoed "	"Water"	""
"#194 "	"194"	"Wooper "	"Water "	"Ground"
"#195 "	"195"	"Quagsire "	"Water "	"Ground"
"#199 "	"199"	"Slowking "	"Water "	"Psychic"
"#258 "	"258"	"Mudkip "	"Water"	""
"#259 "	"259"	"Marshtomp "	"Water "	"Ground"
"#260 "	"260"	"Swampert "	"Water "	"Ground"
"#270 "	"270"	"Lotad "	"Water "	"Grass"
"#271 "	"271"	"Lombre "	"Water "	"Grass"
"#272 "	"272"	"Ludicolo "	"Water "	"Grass"
"#283 "	"283"	"Surskit "	"Bug "	"Water"
"#284 "	"284"	"Masquerain "	"Bug "	"Flying"
"#298 "	"298"	"Azurill "	"Normal"	""
"#339 "	"339"	"Barboach "	"Water "	"Ground"
"#340 "	"340"	"Whiscash "	"Water "	"Ground"
"#341 "	"341"	"Corphish "	"Water"	""
"#342 "	"342"	"Crawdaunt "	"Water "	"Dark"
"#347 "	"347"	"Anorith "	"Rock "	"Bug"
"#348 "	"348"	"Armaldo "	"Rock "	"Bug"
"#349 "	"349"	"Feebas "	"Water"	""
"#350 "	"350"	"Milotic "	"Water"	""
"#380 "	"380"	"Latias "	"Dragon "	"Psychic"
"#381 "	"381"	"Latios "	"Dragon "	"Psychic"
