"Ndex "	"MS "	"Pokémon "	"Type"	"ieo"
"#021 "	"21"	"Spearow "	"Normal "	"Flying"
"#022 "	"22"	"Fearow "	"Normal "	"Flying"
"#027 "	"27"	"Sandshrew "	"Ground"	""
"#028 "	"28"	"Sandslash "	"Ground"	""
"#081 "	"81"	"Magnemite "	"Electric "	"Steel"
"#082 "	"82"	"Magneton "	"Electric "	"Steel"
"#111 "	"111"	"Rhyhorn "	"Ground "	"Rock"
"#112 "	"112"	"Rhydon "	"Ground "	"Rock"
"#227 "	"227"	"Skarmory "	"Steel "	"Flying"
"#228 "	"228"	"Houndour "	"Dark "	"Fire"
"#229 "	"229"	"Houndoom "	"Dark "	"Fire"
"#231 "	"231"	"Phanpy "	"Ground"	""
"#232 "	"232"	"Donphan "	"Ground"	""
"#328 "	"328"	"Trapinch "	"Ground"	""
"#329 "	"329"	"Vibrava "	"Ground "	"Dragon"
"#330 "	"330"	"Flygon "	"Ground "	"Dragon"
"#331 "	"331"	"Cacnea "	"Grass"	""
"#332 "	"332"	"Cacturne "	"Grass "	"Dark"
"#343 "	"343"	"Baltoy "	"Ground "	"Psychic"
"#344 "	"344"	"Claydol "	"Ground "	"Psychic"
"#371 "	"371"	"Bagon "	"Dragon"	""
"#372 "	"372"	"Shelgon "	"Dragon"	""
"#373 "	"373"	"Salamence "	"Dragon "	"Flying"
"#374 "	"374"	"Beldum "	"Steel "	"Psychic"
"#375 "	"375"	"Metang "	"Steel "	"Psychic"
"#376 "	"376"	"Metagross "	"Steel "	"Psychic"
"#383 "	"383"	"Groudon "	"Ground"	""
