Ndex	MS	Pokémon	Type	t
#050	050	Diglett	Ground
#070	070	Weepinbell	Grass	Poison
#071	071	Victreebel	Grass	Poison
#116	116	Horsea	Water
#117	117	Seadra	Water
#120	120	Staryu	Water
#121	121	Starmie	Water	Psychic
#202	202	Wobbuffet	Psychic
#230	230	Kingdra	Water	Dragon
#292	292	Shedinja	Bug	Ghost
#345	345	Lileep	Rock	Grass
#346	346	Cradily	Rock	Grass
#374	374	Beldum	Steel	Psychic
#412	412	Burmy	Bug
#413	413	Wormadam	Bug	Grass
#413	413G	Wormadam	Bug	Ground
#413	413S	Wormadam	Bug	Steel
#442	442	Spiritomb	Ghost	Dark
#548	548	Petilil	Grass
#549	549	Lilligant	Grass
#556	556	Maractus	Grass
#563	563	Cofagrigus	Ghost
#582	582	Vanillite	Ice
#583	583	Vanillish	Ice
#607	607	Litwick	Ghost	Fire
#665	665	Spewpa	Bug
#679	679	Honedge	Steel	Ghost
#681	681	Aegislash	Steel	Ghost
#687	687	Malamar	Dark	Psychic
#690	690	Skrelp	Poison	Water
#691	691	Dragalge	Poison	Dragon
#711	711	Gourgeist	Ghost	Grass
#747	747	Mareanie	Poison	Water
#755	755	Morelull	Grass	Fairy
#781	781	Dhelmise	Ghost	Grass
