Ndex	MS	Pokémon	Type	w
#012	012	Butterfree	Bug	Flying
#015	015	Beedrill	Bug	Poison
#049	049	Venomoth	Bug	Poison
#123	123	Scyther	Bug	Flying
#127	127M	Pinsir	Bug
#169	169	Crobat	Poison	Flying
#193	193	Yanma	Bug	Flying
#212	212	Scizor	Bug	Steel
#267	267	Beautifly	Bug	Flying
#269	269	Dustox	Bug	Poison
#284	284	Masquerain	Bug	Flying
#291	291	Ninjask	Bug	Flying
#329	329	Vibrava	Ground	Dragon
#402	402	Kricketune	Bug
#414	414	Mothim	Bug	Flying
#416	416	Vespiquen	Bug	Flying
#469	469	Yanmega	Bug	Flying
#637	637	Volcarona	Bug	Fire
#666	666	Vivillon	Bug	Flying
#743	743	Ribombee	Bug	Fairy
#800	800U	Necrozma	Psychic	Dragon
