"CP_Nov16","COUNT(`CP_Nov16`)"
3327,1
3525,1
3244,1
3638,1
3148,1
3449,1
3313,1
3338,1
3391,1
3802,1
3149,1
3577,1
3826,1
3055,1
3042,1
3328,1
3554,1
3611,1
3610,1
3488,1
3125,1
3263,1
3316,1
3478,1
3689,1
3534,1
3716,1
2860,1
3775,1
3181,1
3830,1
3233,1
3858,1
3727,1
3171,1
3555,1
3379,1
3640,1
3636,1
3485,1
3176,1
3691,1
3508,1
2908,1
3154,1
3552,1
3177,1
3261,1
3890,1
3082,1
3499,1
3435,1
3668,1
3156,1
3664,1
3541,1
3538,1
3341,1
3564,1
3420,1
3471,1
3639,1
3229,1
3759,1
3273,1
3166,1
3384,1
3583,1
3408,1
3641,1
3517,1
3152,1
3345,1
3719,1
3224,1
3366,1
3560,1
3806,1
3587,1
3834,1
3862,1
3005,1
3790,1
2915,1
3385,1
3383,1
3381,1
3437,1
3669,1
3490,1
3666,1
3514,1
3694,1
3571,1
3722,1
3568,1
3594,1
3747,1
3591,1
3617,1
3613,1
3278,1
3290,1
3922,1
3431,1
3188,1
3584,1
3264,1
3464,1
3698,1
3228,1
3370,1
3621,1
3475,1
3643,1
3893,1
3670,1
3257,1
3822,1
3059,1
3612,1
3493,1
3520,1
3286,1
3724,1
3598,1
3750,1
3625,1
3395,1
3651,1
3648,1
3865,1
3674,1
3253,1
3319,1
3306,1
3854,1
3440,1
3185,1
3410,1
3522,1
3289,1
3726,1
3544,1
3232,1
3373,1
2996,1
3399,1
3280,1
3778,1
3305,1
3450,1
3678,1
3283,1
3234,1
3701,1
3954,1
3886,1
3069,1
3213,1
3494,1
3317,1
3549,1
3311,1
3755,1
3601,1
3752,1
3781,1
3655,1
3207,1
3682,1
3837,1
3709,1
3258,1
3324,1
3307,1
3170,1
3296,1
3468,1
3266,1
3165,1
3349,1
3346,1
3339,1
3336,1
3048,1
3628,1
3428,1
3424,1
3333,1
3259,1
3740,1
3897,1
3705,1
3282,1
3732,1
3542,1
3918,1
3032,1
3497,1
3241,1
3438,1
3524,1
3189,1
3375,1
3579,1
3400,1
3368,1
3208,1
3365,1
3811,1
3809,1
3713,1
3179,1
3024,1
3736,1
3925,1
3572,1
3301,1
3114,1
3469,1
3294,1
3242,1
3576,1
3397,1
3574,1
3394,1
3631,1
3783,1
3309,1
3362,1
3479,1
3387,1
3096,1
3382,1
3486,1
3378,1
3227,1
3950,1
2846,1
3245,1
3299,1
3553,1
3403,1
3429,1
3426,1
3423,1
3361,1
3284,1
3415,1
3686,1
3453,1
3744,1
3868,1
3771,1
3124,1
3767,1
3147,1
3763,1
3603,1
3281,1
3216,1
3120,1
3467,1
3406,1
3239,1
3097,1
3452,1
3288,1
3390,1
3658,1
3840,1
3412,1
3516,1
3407,1
3285,1
3581,1
3357,1
3580,1
3432,1
3459,1
3606,1
3456,1
3604,1
3482,1
3661,1
3419,1
3474,1
3052,1
3416,1
3153,1
3799,1
3175,1
3795,1
3665,1
3982,1
2969,2
2971,2
3351,2
3040,2
3128,2
3504,2
3079,2
3130,2
3521,2
3139,2
3330,2
3196,2
3030,2
3020,2
3511,2
3174,2
3103,2
3065,2
3634,2
2938,2
3500,2
2949,2
3355,2
3353,2
3530,2
3209,2
2894,2
3109,2
3198,2
2585,2
3091,2
3046,2
3295,2
3204,2
3200,2
3277,2
3138,2
3527,2
2820,2
3223,2
2976,2
2975,2
3254,2
2918,2
3356,2
3222,2
3137,2
3021,2
3696,2
3348,2
3252,2
3275,2
3247,2
3162,2
3064,2
3411,2
3292,2
3260,2
3547,2
3180,2
3151,2
3193,2
3036,2
3194,2
3092,2
3210,2
3314,2
3320,2
3343,2
3002,2
3256,2
3051,2
3274,2
3372,2
2998,2
3160,2
3190,2
3119,2
3217,2
3271,2
3026,2
3402,2
3071,2
3118,2
3269,2
3377,2
3551,2
3049,2
3182,2
2944,2
3608,2
3025,2
3246,2
3013,2
3498,2
3014,2
3101,2
3445,2
3073,2
3123,2
3436,2
3491,2
3083,2
3060,2
3297,2
3323,2
3582,2
3173,2
3102,2
3086,3
2986,3
2882,3
2899,3
3047,3
3028,3
3221,3
3070,3
3325,3
3267,3
3158,3
2627,3
3329,3
3413,3
2757,3
3146,3
3009,3
3006,3
2639,3
3080,3
3461,3
3131,3
3150,3
2952,3
2957,3
3142,3
2834,3
3172,3
2903,3
3132,3
3001,3
3018,3
3110,3
3556,3
3107,3
3230,3
2912,3
3183,3
3178,3
3206,3
3056,3
2984,3
2837,3
3466,3
3116,3
2946,3
3136,3
2852,3
3090,3
3215,3
2979,3
3106,3
3121,3
3219,3
2620,3
3441,3
3238,3
2951,3
2783,3
3010,3
2867,3
3414,3
3093,3
2930,3
2981,3
3187,3
2961,3
3211,3
3094,3
3157,3
3003,3
2987,3
2956,3
3169,3
3192,3
3074,3
3029,3
3302,3
2779,3
3145,3
3526,3
3076,3
2954,3
2988,3
3077,3
2691,3
3144,3
2983,3
2927,3
3496,3
3099,3
3122,3
2980,4
3034,4
2897,4
3081,4
2790,4
2926,4
2878,4
2991,4
3331,4
2872,4
3127,4
3202,4
3167,4
2889,4
3043,4
3113,4
3068,4
2772,4
2994,4
3057,4
3225,4
2804,4
3033,4
2763,4
3019,4
2891,4
3235,4
2931,4
3155,4
2817,4
2925,4
2999,4
2948,4
3053,4
2982,4
3134,4
3063,4
2874,4
2830,4
3164,4
3191,4
2856,4
2974,4
2955,4
2978,4
2541,4
3470,4
2937,4
2881,4
2885,4
3214,4
3045,4
3117,4
3027,4
2935,4
2911,4
3078,4
3276,4
3442,4
2747,4
3054,4
3195,4
3004,4
3197,4
2705,4
3303,4
2815,4
3038,4
2798,5
3141,5
2727,5
3031,5
2630,5
2695,5
2993,5
2992,5
2806,5
3104,5
2932,5
2928,5
3100,5
2929,5
2649,5
3000,5
2905,5
3084,5
3248,5
2701,5
2970,5
3108,5
2652,5
3037,5
2824,5
2743,5
3358,5
2811,5
2796,5
3041,5
2887,5
3159,5
3015,5
2843,5
2967,5
2748,5
2902,5
3067,5
2879,5
2973,5
3129,5
3300,5
3088,5
2940,5
2832,5
2716,5
2809,5
3007,5
3249,5
2601,5
2873,5
2840,5
2958,5
2643,5
2841,5
2672,5
2773,5
3386,5
2789,5
2570,5
2692,5
2997,5
2731,5
3095,5
3050,5
2900,5
2865,5
3115,5
2785,5
2922,5
2943,5
2736,5
3008,5
2933,5
2921,5
2537,5
2977,5
2854,5
2960,5
2645,5
2923,5
2634,6
2826,6
2810,6
2906,6
2877,6
2904,6
2767,6
2910,6
2972,6
2813,6
2950,6
2793,6
2665,6
2795,6
3023,6
2871,6
2681,6
3039,6
2901,6
2959,6
2752,6
3072,6
2953,6
2663,6
3066,6
3135,6
2802,6
2838,6
2848,6
2868,6
2615,6
2764,6
2776,6
2781,6
2787,6
2850,6
2990,6
3163,6
2660,6
3168,6
2896,6
2936,6
2893,6
2777,6
2646,6
2769,6
2942,6
3220,6
2836,6
2756,6
2858,6
2941,6
2737,6
2857,6
3022,6
2855,6
2582,6
3058,6
2614,6
3016,6
2963,6
2886,6
2741,6
2876,6
2563,6
2288,6
3012,6
2685,6
2966,6
2770,6
2725,6
3272,6
2604,7
2907,7
2800,7
2864,7
2501,7
2689,7
2884,7
2947,7
3011,7
2669,7
2676,7
2939,7
2924,7
2825,7
2799,7
2995,7
2784,7
2723,7
2751,7
2828,7
3140,7
2965,7
2934,7
3243,7
2710,7
2861,7
2566,7
2516,7
2862,7
2814,7
2697,7
2753,7
2844,7
2851,7
2656,7
2706,7
2869,7
2561,7
2717,7
3062,7
2829,7
2914,7
2863,7
2732,7
2833,7
2888,7
2895,7
2962,7
2680,7
2760,7
2775,7
2761,7
2684,7
2744,7
3085,7
2749,7
2712,7
3061,7
2917,7
2607,7
2883,7
3186,7
2714,7
2823,7
2913,7
2859,7
2655,7
2700,8
2805,8
2989,8
2591,8
2624,8
2794,8
2659,8
2755,8
2545,8
2909,8
2735,8
2487,8
2670,8
2711,8
2718,8
2839,8
2726,8
2709,8
2295,8
2734,8
2360,8
2724,8
2673,8
2738,8
2722,8
2778,8
3044,8
2478,8
3035,8
2611,8
2985,8
2679,8
2768,8
2745,8
2688,8
2721,8
2945,8
2831,8
2677,8
2791,8
2812,8
2890,8
2666,8
2550,8
2880,8
2819,8
2847,8
2870,9
2739,9
2719,9
2786,9
2694,9
2678,9
2797,9
2512,9
2866,9
2835,9
2560,9
2816,9
2818,9
2845,9
2765,9
2596,9
2898,9
2821,9
2636,9
2740,9
2606,9
2788,9
2759,9
2698,9
2808,9
2822,9
2519,9
3089,9
2713,9
2573,9
2668,9
2690,9
2449,9
2654,9
2807,9
2696,9
2626,9
2766,9
2968,9
2609,9
2792,9
2589,9
2610,9
2576,9
2514,9
3017,9
2703,9
2742,10
2551,10
2600,10
2762,10
2575,10
2849,10
2644,10
2707,10
2803,10
2651,10
3112,10
2638,10
2540,10
2916,10
2460,10
2715,10
2733,10
2730,10
2507,10
2468,10
2556,10
2565,10
2318,10
2579,10
2554,10
2622,10
2493,10
2875,10
2590,10
2758,10
2750,10
2720,10
2801,10
2599,10
2603,10
2892,10
2702,10
2686,10
2774,10
2704,11
2782,11
2464,11
2653,11
2671,11
2699,11
2842,11
2532,11
2461,11
2522,11
2728,11
2598,11
2588,11
2632,11
2729,11
2402,11
2569,11
2529,11
2623,11
2534,11
2544,11
2683,11
2497,11
2827,11
2647,11
2674,11
2336,11
2311,11
2395,11
2853,11
2469,11
2919,11
2574,11
2330,11
2441,11
2661,11
2505,11
2504,11
2528,11
2383,11
2483,11
2635,11
2584,11
2633,11
2597,11
2621,11
2619,11
2448,12
2399,12
2557,12
2439,12
2418,12
2350,12
2594,12
2542,12
2642,12
2484,12
2438,12
2650,12
2538,12
2410,12
2617,12
2496,12
2629,12
2482,12
2346,12
2509,12
2618,12
2664,12
2641,12
2426,12
2580,12
2520,12
2754,12
2667,12
2586,12
2489,12
2446,12
2471,12
2631,12
2525,12
2595,13
2625,13
2391,13
2628,13
2281,13
2657,13
2463,13
2526,13
2452,13
2485,13
2771,13
2675,13
2420,13
2521,13
2578,13
2456,13
2564,13
2506,13
2379,13
2429,13
2423,13
2474,13
2377,13
2508,13
2490,13
2444,13
2658,13
2467,13
2559,13
2530,13
2354,13
2593,13
2524,13
2546,13
2568,13
2425,13
2612,13
2382,14
2613,14
2572,14
2492,14
2435,14
2405,14
2453,14
2517,14
2373,14
2708,14
2443,14
2433,14
2416,14
2548,14
2549,14
2746,14
2335,14
2424,14
2693,14
2531,14
2473,14
2518,14
2577,14
2355,14
2583,14
2294,14
2682,14
2581,14
2247,14
2552,14
2605,14
2494,14
2371,14
2477,15
2387,15
2253,15
2261,15
2500,15
2498,15
2329,15
2567,15
2432,15
2406,15
2637,15
2240,15
2553,15
2558,15
2547,15
2587,15
2640,15
2380,15
2462,15
2502,15
2428,15
2662,15
2397,15
2602,15
2592,15
2539,15
2465,15
2780,15
2499,16
2511,16
2687,16
2411,16
2302,16
2358,16
2527,16
2317,16
2648,16
2523,16
2422,16
2353,16
2434,16
2365,16
2437,16
2307,16
2203,16
2472,16
2608,16
2403,16
2343,16
2442,16
2394,16
2431,16
2376,16
2151,16
2480,16
2447,16
2312,16
2193,16
2386,16
2535,16
2368,16
2419,16
2495,16
2401,16
2488,16
2454,16
2415,16
2555,16
2440,17
2364,17
2226,17
2513,17
2510,17
2486,17
2326,17
2390,17
2421,17
2476,17
2451,17
2536,17
2366,17
2274,17
2357,17
2224,17
2269,17
2481,17
2455,17
2445,17
2458,17
2533,17
2562,17
2400,17
2374,17
2417,17
2396,17
2337,17
2407,17
2271,18
2285,18
2277,18
2372,18
2322,18
2459,18
2352,18
2362,18
2398,18
2340,18
2543,18
2470,18
2306,18
2169,18
2409,18
2491,18
2308,19
2325,19
2616,19
2259,19
2211,19
2323,19
2408,19
2191,19
2300,19
2475,19
2276,19
2328,19
2359,19
2297,19
2389,19
2334,19
2341,19
2339,19
2195,19
2479,19
2385,19
2313,19
2280,20
2258,20
2097,20
2231,20
2315,20
2266,20
2370,20
2298,20
2254,20
2293,20
2404,20
2319,20
2466,20
2348,20
2167,20
2344,20
2235,20
2413,20
2367,20
2186,20
2217,21
2289,21
2388,21
2229,21
2278,21
2257,21
2430,21
2412,21
2227,21
2332,21
2310,21
2272,21
2130,21
2052,21
2324,21
2347,21
2363,21
2457,21
2243,21
2427,21
2010,21
2414,21
2515,21
2381,22
2124,22
2147,22
2321,22
2213,22
2384,22
2316,22
2178,22
2292,22
2299,22
2342,22
2251,22
2265,22
2571,22
2392,22
2378,22
2260,22
2450,22
2264,22
2208,22
2209,22
2503,23
2375,23
2128,23
2163,23
2245,23
1884,23
2248,23
2237,23
2008,23
2267,23
2218,23
2252,23
2176,23
2223,23
2303,23
2283,23
2105,23
2331,23
2333,23
2164,23
2234,23
2047,24
2100,24
2144,24
2205,24
2244,24
2233,24
2155,24
2107,24
2043,24
2033,24
1891,24
2136,24
1728,24
2181,24
2212,24
2120,24
2067,24
2284,24
2081,24
2219,24
2301,24
2153,24
2273,25
2171,25
2305,25
2228,25
2345,25
2059,25
2246,25
1920,25
2202,25
2113,25
2142,25
2275,25
2356,25
2183,25
2162,25
2349,25
2170,25
2215,25
2214,25
2177,25
2185,25
2361,25
2160,25
2117,26
2091,26
2156,26
2236,26
2083,26
2135,26
2184,26
2002,26
2268,26
2032,26
2154,26
1864,26
2262,26
2159,26
2174,26
2189,26
2220,26
2314,26
2282,26
2173,26
1774,26
2238,26
2199,26
2290,26
1906,27
2207,27
1835,27
2088,27
2140,27
2112,27
2188,27
2242,27
2291,27
2063,27
1973,27
1936,27
1966,27
2201,27
2320,27
2287,27
2206,27
1841,27
2133,27
2116,27
2190,27
2121,27
2351,28
2286,28
2369,28
2048,28
1815,28
2200,28
2084,28
1821,28
2023,28
2194,28
1913,28
2249,28
1786,28
1850,28
2393,28
2232,28
2141,28
2021,28
2134,28
2114,28
2078,28
1976,28
2095,28
2172,28
2137,28
2270,28
2230,28
2241,28
1977,29
1994,29
2239,29
2338,29
2017,29
2014,29
2127,29
2221,29
1987,29
2040,29
1870,29
1941,29
1952,29
2131,29
2250,29
2036,29
1925,29
2003,29
1956,29
2072,29
2102,29
2197,29
2210,29
2069,29
1876,29
2104,29
2304,29
2222,30
2196,30
2050,30
1944,30
1828,30
2089,30
2101,30
2070,30
1641,30
2018,30
2150,30
1747,30
2180,30
2122,30
1848,30
2090,30
2256,30
1927,30
1991,30
2129,30
1900,30
2175,30
2053,30
1915,31
1584,31
1970,31
1935,31
2198,31
1721,31
2255,31
2071,31
2158,31
1560,31
2279,31
2146,31
2143,31
1999,31
2028,31
2187,31
2015,31
2436,31
1983,31
2056,31
2108,31
2031,31
2074,31
1971,31
1746,31
2080,31
2045,31
2152,31
2115,31
2073,31
2192,31
1794,32
1831,32
1962,32
2058,32
1943,32
1907,32
1809,32
1878,32
2309,32
2168,32
1998,32
2085,32
2099,32
1664,32
2161,32
1766,32
2263,32
2086,32
2062,32
2079,32
1868,32
2216,32
2149,32
2139,32
2110,33
2068,33
1928,33
1978,33
1779,33
1905,33
1856,33
1781,33
1979,33
1917,33
1813,33
1796,33
2119,33
2038,33
1958,33
2004,33
2179,33
2182,33
2096,33
2145,33
2111,33
1887,33
2092,33
2035,33
1967,33
1677,33
1955,33
1858,33
2066,33
1829,33
2024,33
1988,33
2138,33
2093,33
1982,34
2042,34
1950,34
1468,34
2022,34
2123,34
2204,34
1932,34
2000,34
1986,34
2077,34
1921,34
1872,34
1801,34
1622,34
2118,34
2060,34
1961,34
2030,34
1685,34
1948,34
1972,34
2148,34
2061,34
2132,34
1602,34
1754,34
1847,35
2029,35
1985,35
1981,35
1566,35
1964,35
1807,35
2165,35
2296,35
1904,35
2054,35
1923,35
1725,35
2076,35
2064,35
1610,35
1578,35
1836,35
1940,35
1997,35
2051,35
1540,35
2075,35
2041,35
1576,35
1934,35
1885,35
2016,35
1965,35
2109,35
1947,35
2098,35
1656,35
1854,35
2225,35
1706,36
1818,36
1902,36
2125,36
1908,36
1914,36
1877,36
1798,36
1892,36
1659,36
2094,36
2013,36
2026,36
1672,36
1800,36
1737,36
1749,36
1739,36
1883,36
1889,36
1992,36
1993,36
1716,36
2049,36
1989,36
1777,36
2037,37
1839,37
1926,37
1806,37
1792,37
2019,37
1897,37
2055,37
1833,37
2025,37
1648,37
1871,37
1834,37
2011,37
1760,37
1919,37
1733,37
1688,37
1679,37
1514,37
1895,37
2327,37
2005,37
1826,37
1949,37
1695,37
1869,37
1697,37
1849,37
1646,37
1812,37
1755,37
1209,37
1712,37
1588,37
2166,38
1882,38
1867,38
2006,38
1793,38
1963,38
1738,38
1758,38
1924,38
1478,38
1959,38
1855,38
1851,38
1573,38
1995,38
1816,38
2009,38
2103,38
1778,38
1954,38
1662,38
1942,38
1857,38
1693,38
1694,38
1762,38
1757,38
2157,38
1451,38
1730,38
1984,38
2039,38
1890,38
1558,39
1741,39
1436,39
1765,39
1903,39
2027,39
1863,39
1596,39
1360,39
1674,39
1690,39
1945,39
2106,39
1951,39
1722,39
1791,39
1644,39
1627,39
1526,39
1937,39
1827,39
1814,39
1797,39
2082,39
1764,39
1773,39
1912,39
2065,39
1542,39
1550,40
1547,40
1671,40
1784,40
1980,40
1335,40
1617,40
1795,40
1736,40
1811,40
1930,40
2057,40
1705,40
2087,40
1957,40
1657,40
1591,40
1484,40
1960,40
1783,40
1632,40
1667,40
1865,40
1460,40
1590,40
1896,40
2126,41
1454,41
1592,41
1597,41
1704,41
1875,41
1523,41
1862,41
1780,41
1507,41
1899,41
1658,41
1629,41
1635,41
1700,41
2001,41
2034,41
1401,41
1642,41
1751,41
1990,41
1820,41
1911,41
1808,41
1406,41
1711,41
1516,41
1485,41
1709,41
1873,41
1843,41
1996,41
1462,41
